day,month,year,continentExp,Country,cases,deaths,Doses administered per 100 people,Total doses administered,% of population vaccinated
11,6,2020,Asia,Afghanistan,684,21,33,12526397,30.0
10,6,2020,Asia,Afghanistan,542,15,33,12526397,30.0
9,6,2020,Asia,Afghanistan,575,12,33,12526397,30.0
8,6,2020,Asia,Afghanistan,791,30,33,12526397,30.0
7,6,2020,Asia,Afghanistan,582,18,33,12526397,30.0
6,6,2020,Asia,Afghanistan,915,9,33,12526397,30.0
5,6,2020,Asia,Afghanistan,787,6,33,12526397,30.0
4,6,2020,Asia,Afghanistan,758,24,33,12526397,30.0
3,6,2020,Asia,Afghanistan,759,5,33,12526397,30.0
2,6,2020,Asia,Afghanistan,545,8,33,12526397,30.0
1,6,2020,Asia,Afghanistan,680,8,33,12526397,30.0
31,5,2020,Asia,Afghanistan,866,3,33,12526397,30.0
30,5,2020,Asia,Afghanistan,623,11,33,12526397,30.0
29,5,2020,Asia,Afghanistan,580,8,33,12526397,30.0
28,5,2020,Asia,Afghanistan,625,7,33,12526397,30.0
27,5,2020,Asia,Afghanistan,658,1,33,12526397,30.0
26,5,2020,Asia,Afghanistan,591,1,33,12526397,30.0
25,5,2020,Asia,Afghanistan,584,2,33,12526397,30.0
24,5,2020,Asia,Afghanistan,782,11,33,12526397,30.0
23,5,2020,Asia,Afghanistan,540,12,33,12526397,30.0
22,5,2020,Asia,Afghanistan,531,6,33,12526397,30.0
21,5,2020,Asia,Afghanistan,492,9,33,12526397,30.0
20,5,2020,Asia,Afghanistan,581,5,33,12526397,30.0
19,5,2020,Asia,Afghanistan,408,4,33,12526397,30.0
18,5,2020,Asia,Afghanistan,262,1,33,12526397,30.0
17,5,2020,Asia,Afghanistan,0,0,33,12526397,30.0
16,5,2020,Asia,Afghanistan,1063,32,33,12526397,30.0
15,5,2020,Asia,Afghanistan,113,6,33,12526397,30.0
14,5,2020,Asia,Afghanistan,259,3,33,12526397,30.0
13,5,2020,Asia,Afghanistan,280,5,33,12526397,30.0
12,5,2020,Asia,Afghanistan,285,2,33,12526397,30.0
11,5,2020,Asia,Afghanistan,369,5,33,12526397,30.0
10,5,2020,Asia,Afghanistan,255,6,33,12526397,30.0
9,5,2020,Asia,Afghanistan,215,3,33,12526397,30.0
8,5,2020,Asia,Afghanistan,171,2,33,12526397,30.0
7,5,2020,Asia,Afghanistan,168,9,33,12526397,30.0
6,5,2020,Asia,Afghanistan,330,5,33,12526397,30.0
5,5,2020,Asia,Afghanistan,190,5,33,12526397,30.0
4,5,2020,Asia,Afghanistan,235,13,33,12526397,30.0
3,5,2020,Asia,Afghanistan,134,4,33,12526397,30.0
